date,RF,MKT,SMB,HML
1996/1/29,0.000182,0.006147427,-0.000380106,0.001947131
1996/1/30,0.000182,0.00587129,0.000255687,0.00570145
1996/1/31,0.000182,0.006977526,-4.96E-05,0.004337096
1996/2/1,0.000182,-0.000339997,0.001826142,-0.003443277
1996/2/2,0.000182,-0.003120575,-0.006701634,-0.009526815
1996/2/5,0.000182,-0.022011255,-0.003176532,-0.00806551
1996/2/6,0.000182,-0.003967101,-0.000515426,0.002754859
1996/2/7,0.000182,0.004528559,-0.00119117,0.006116796
1996/2/8,0.000182,-0.003737054,-0.000938036,-0.005008987
1996/2/9,0.000182,0.007196129,0.000231286,-0.00175716
1996/2/12,0.000182,0.001601557,0.000498406,0.000652286
1996/2/13,0.000182,0.010767556,0.001487999,0.005181305
1996/2/14,0.000182,-0.002875547,-0.002989444,-0.005579568
1996/2/15,0.000182,0.015034784,0.001642593,-0.002379249
1996/2/16,0.000182,0.028266589,0.000589076,-0.016694141
1996/3/4,0.000182,0.079354313,-0.000343007,-0.010618449
1996/3/5,0.000182,-0.028826077,0.000775943,0.016089258
1996/3/6,0.000182,-0.043829275,0.000432421,0.001809556
1996/3/7,0.000182,0.016085727,-0.004624125,0.004664349
1996/3/8,0.000182,0.008338119,-0.00497249,-0.016290343
1996/3/11,0.000182,-0.009894729,0.002784075,0.00196573
1996/3/12,0.000182,-0.006250683,0.001863712,0.002469577
1996/3/13,0.000182,-0.000930266,0.000722658,0.00260249
1996/3/14,0.000182,0.000344071,-0.002006254,-0.000460918
1996/3/15,0.000182,-0.000561526,0.004554319,0.002092441
1996/3/18,0.000182,0.008157546,-0.002231284,0.00517293
1996/3/19,0.000182,-0.001998452,-0.001269716,-0.002445898
1996/3/20,0.000182,0.004175975,0.000509976,0.002684278
1996/3/21,0.000182,0.001046301,-0.000882868,-0.000583037
1996/3/22,0.000182,0.002435364,0.004414118,0.005706624
1996/3/25,0.000182,0.000455674,0.002879458,0.002391461
1996/3/26,0.000182,-0.010845602,-0.000323689,-0.003632379
1996/3/27,0.000182,-0.003205077,-0.001924399,0.002480252
1996/3/28,0.000182,-0.012504357,0.001581122,-0.00371387
1996/3/29,0.000182,0.005332392,-0.003644274,-0.004199011
1996/4/1,0.000182,0.017513547,0.002011122,-0.030624117
1996/4/2,0.000182,-0.015662796,0.001396432,0.007875051
1996/4/3,0.000182,0.006339996,0.001160992,-0.005596761
1996/4/4,0.000182,0.00721476,-0.002755039,-0.004177563
1996/4/5,0.000182,0.032563548,0.00095196,-0.018046178
1996/4/8,0.000182,0.002406841,0.002235318,0.004872094
1996/4/9,0.000182,-0.005810716,0.002873402,0.004256169
1996/4/10,0.000182,0.003118558,0.0037601,-0.002282398
1996/4/11,0.000182,0.008285529,-0.001158345,-0.00192224
1996/4/12,0.000182,0.008185216,-0.000802958,-0.003718278
1996/4/15,0.000182,0.00127511,0.001254371,0.011587331
1996/4/16,0.000182,0.014269808,0.005268493,0.013969258
1996/4/17,0.000182,0.001393948,-0.001051336,-0.010491018
1996/4/18,0.000182,0.015609937,0.004624794,0.013646801
1996/4/19,0.000182,0.021613001,0.000297696,-0.017615518
1996/4/22,0.000182,-0.00058839,0.005834065,0.020707189
1996/4/23,0.000182,0.021034473,0.007525883,0.021226945
1996/4/24,0.000182,0.067478921,0.00202887,0.020366271
1996/4/25,0.000182,-0.025045158,-0.010739471,-0.033726657
1996/4/26,0.000182,0.095395898,-0.016566799,0.00093566
1996/4/29,0.000182,0.055118246,0.008625324,0.007528106
1996/4/30,0.000182,-0.066561763,-0.004786809,0.028246529
1996/5/2,0.000133,-0.038442492,-0.005591199,0.007957784
1996/5/3,0.000133,-0.007087009,-0.004669709,-0.000536157
1996/5/6,0.000133,0.040944221,-0.012044815,0.054843441
1996/5/7,0.000133,-0.011147829,0.000456048,0.003776439
1996/5/8,0.000133,-0.007241805,-0.00527964,-0.015728949
1996/5/9,0.000133,-0.012057606,-0.003335206,-0.016570024
1996/5/10,0.000133,0.002500664,-0.007440109,0.002273995
1996/5/13,0.000133,0.018291114,-0.001428967,0.031956182
1996/5/14,0.000133,-0.00357679,-0.002696036,-0.006739399
1996/5/15,0.000133,0.032668397,-0.009112012,0.024813438
1996/5/16,0.000133,0.009147353,0.003830161,0.02373329
1996/5/17,0.000133,0.041657073,-0.011182925,-0.022400376
1996/5/20,0.000133,-0.009022753,0.015018041,0.001517478
1996/5/21,0.000133,-0.06608014,0.008279591,-0.016267563
1996/5/22,0.000133,0.013182608,-0.012766935,0.013831039
1996/5/23,0.000133,-0.04101599,-0.009929167,-0.008021903
1996/5/24,0.000133,-0.000454105,-0.001280325,0.000362049
1996/5/27,0.000133,-0.005231915,-0.007919682,-0.003460132
1996/5/28,0.000133,0.011711317,-0.003396272,-0.002749125
1996/5/29,0.000133,0.014128107,0.003280856,0.01668248
1996/5/30,0.000133,-0.022199163,-0.004346355,-0.010052328
1996/5/31,0.000133,0.017146728,-0.004438634,-0.003841431
1996/6/3,0.000133,0.006012811,-0.020051029,0.002030825
1996/6/4,0.000133,0.017662382,-0.01569109,0.007615574
1996/6/5,0.000133,0.055046711,-0.015183568,-0.041690864
1996/6/6,0.000133,0.011034071,-0.015310559,0.002599673
1996/6/7,0.000133,0.03605753,-0.006896547,0.0037234
1996/6/10,0.000133,0.041926351,-0.032334457,0.013271017
1996/6/11,0.000133,-0.00641402,-0.004643143,0.001797772
1996/6/12,0.000133,0.010330795,0.003746216,0.004670733
1996/6/13,0.000133,0.023821974,0.001966201,0.042842248
1996/6/14,0.000133,0.000525284,-0.015685068,-0.01638111
1996/6/17,0.000133,-0.027316619,0.012388185,0.0027792
1996/6/18,0.000133,0.054047754,-0.027113963,-0.034123161
1996/6/19,0.000133,0.009759755,0.005236553,7.55E-05
1996/6/20,0.000133,0.00038549,0.009405865,0.022034143
1996/6/21,0.000133,-0.001003661,-0.001699954,0.004080622
1996/6/24,0.000133,0.006508806,0.007953725,0.025736811
1996/6/25,0.000133,-0.014369561,-0.000507071,0.010397364
1996/6/26,0.000133,0.022134197,-0.002544111,-0.003928455
1996/6/27,0.000133,-0.000383735,-0.010278304,-0.00827143
1996/6/28,0.000133,-0.01392547,-0.00798234,-0.012120639
1996/7/1,0.000133,-0.053339749,0.00283666,0.000889912
1996/7/2,0.000133,0.002894634,0.012022702,0.00311776
1996/7/3,0.000133,0.036545071,-0.020962948,0.009112767
