date,RF,MKT
1996/9/27,0.000091,0.028100601
1996/10/3,0.000091,0.000803912
1996/10/4,0.000091,0.001109097
1996/10/7,0.000091,0.012997964
1996/10/8,0.000091,0.019699303
1996/10/9,0.000091,-0.008737584
1996/10/10,0.000091,0.035750939
1996/10/11,0.000091,0.013534435
1996/10/14,0.000091,0.040871819
1996/10/15,0.000091,0.001644092
1996/10/16,0.000091,-0.001404157
1996/10/17,0.000091,0.0188782
1996/10/18,0.000091,-0.02332785
1996/10/21,0.000091,0.045167539
1996/10/22,0.000091,0.002288107
1996/10/23,0.000091,0.031745001
1996/10/24,0.000091,-0.001105161
1996/10/25,0.000091,0.005695702
1996/10/28,0.000091,0.02349795
1996/10/29,0.000091,-0.000859297
1996/10/30,0.000091,-0.044566088
1996/10/31,0.000091,0.02650011
1996/11/1,0.000091,-0.046480243
1996/11/4,0.000091,0.01693825
1996/11/5,0.000091,-0.013558949
1996/11/6,0.000091,-0.021178094
1996/11/7,0.000091,0.006078106
1996/11/8,0.000091,-0.002662935
1996/11/11,0.000091,0.031725463
1996/11/12,0.000091,0.015609067
1996/11/13,0.000091,0.003747905
1996/11/14,0.000091,0.017593115
1996/11/15,0.000091,0.007029703
1996/11/18,0.000091,0.05104641
1996/11/19,0.000091,0.00898902
1996/11/20,0.000091,0.007183253
1996/11/21,0.000091,-0.076787973
1996/11/22,0.000091,0.021457245
1996/11/25,0.000091,0.029149707
1996/11/26,0.000091,-0.011109927
1996/11/27,0.000091,-0.001404717
1996/11/28,0.000091,-0.000475381
1996/11/29,0.000091,0.029754594
1996/12/2,0.000091,0.061227575
1996/12/3,0.000091,0.005957088
1996/12/4,0.000091,0.027519996
1996/12/5,0.000091,0.029733592
1996/12/6,0.000091,0.004393066
1996/12/9,0.000091,0.019122863
1996/12/10,0.000091,-0.020645133
1996/12/11,0.000091,0.012997007
1996/12/12,0.000091,-0.035627437
1996/12/13,0.000091,-0.050384673
1996/12/16,0.000091,-0.099741632
1996/12/17,0.000091,-0.097402844
1996/12/18,0.000091,0.062545358
1996/12/19,0.000091,-0.076290781
1996/12/20,0.000091,-0.043885367
1996/12/23,0.000091,0.003212887
1996/12/24,0.000091,-0.053179808
1996/12/25,0.000091,0.027744731
1996/12/26,0.000091,0.026805137
1996/12/27,0.000091,0.018993821
1996/12/30,0.000091,0.030448416
1996/12/31,0.000091,-0.027035896
1997/1/2,0.000091,0.007504604
1997/1/3,0.000091,-0.018539654
1997/1/6,0.000091,-0.037921422
1997/1/7,0.000091,0.031981291
1997/1/8,0.000091,-0.004534544
1997/1/9,0.000091,0.011165707
1997/1/10,0.000091,0.009866286
1997/1/13,0.000091,0.017370376
1997/1/14,0.000091,-0.023226257
1997/1/15,0.000091,0.009240773
1997/1/16,0.000091,0.000505878
1997/1/17,0.000091,0.007606398
1997/1/20,0.000091,0.018181706
1997/1/21,0.000091,-0.003708672
1997/1/22,0.000091,0.013627923
1997/1/23,0.000091,0.008732254
1997/1/24,0.000091,0.009066155
1997/1/27,0.000091,0.006473414
1997/1/28,0.000091,-0.001487539
1997/1/29,0.000091,0.005531405
1997/1/30,0.000091,0.002423102
1997/1/31,0.000091,0.003860226
1997/2/17,0.000091,0.013862916
1997/2/18,0.000091,-0.090173672
1997/2/19,0.000091,0.076379401
1997/2/20,0.000091,0.0000942
1997/2/21,0.000091,0.045196215
1997/2/24,0.000091,-0.005583808
1997/2/25,0.000091,0.009317164
1997/2/26,0.000091,0.015547674
1997/2/27,0.000091,-0.004499113
1997/2/28,0.000091,0.014138508
1997/3/3,0.000091,0.023663998
1997/3/4,0.000091,0.004850473
1997/3/5,0.000091,-0.017513023
1997/3/6,0.000091,0.020688204
1997/3/7,0.000091,-0.002757237
1997/3/10,0.000091,0.017142143
1997/3/11,0.000091,0.007216731
1997/3/12,0.000091,0.011435423
1997/3/13,0.000091,-0.006684251
1997/3/14,0.000091,0.006091455
1997/3/17,0.000091,0.027860018
1997/3/18,0.000091,0.005892307
1997/3/19,0.000091,-0.002760295
1997/3/20,0.000091,-0.030553911
1997/3/21,0.000091,0.037040731
1997/3/24,0.000091,0.028529158
1997/3/25,0.000091,0.011448739
1997/3/26,0.000091,0.015912732
1997/3/27,0.000091,-0.000711626
1997/3/28,0.000091,-0.011097338
1997/3/31,0.000091,0.028312882
1997/4/1,0.000091,0.004890594
1997/4/2,0.000091,-0.005353348
1997/4/3,0.000091,0.006239685
1997/4/4,0.000091,0.013099831
1997/4/7,0.000091,0.011596251
1997/4/8,0.000091,-0.0278546
1997/4/9,0.000091,0.025922911
1997/4/10,0.000091,-0.004355482
1997/4/11,0.000091,-0.007959204
1997/4/14,0.000091,0.028977234
1997/4/15,0.000091,0.005662875
1997/4/16,0.000091,0.003580116
1997/4/17,0.000091,-0.002996526
1997/4/18,0.000091,0.006751322
1997/4/21,0.000091,0.021243821
1997/4/22,0.000091,0.001177591
1997/4/23,0.000091,0.008815806
1997/4/24,0.000091,0.002337768
1997/4/25,0.000091,-0.009489034
1997/4/28,0.000091,-0.00448933
1997/4/29,0.000091,0.016900493
1997/4/30,0.000091,0.011413248
1997/5/5,0.000091,0.042830818
1997/5/6,0.000091,0.029217349
1997/5/7,0.000091,0.009241115
1997/5/8,0.000091,-0.061650687
1997/5/9,0.000091,0.047917651
1997/5/12,0.000091,0.033431457
1997/5/13,0.000091,-0.025854785
1997/5/14,0.000091,-0.062065002
1997/5/15,0.000091,0.0285426
1997/5/16,0.000091,-0.074424085
1997/5/19,0.000091,0.019038129
1997/5/20,0.000091,0.027735532
1997/5/21,0.000091,-0.02770061
1997/5/22,0.000091,-0.089903553
1997/5/23,0.000091,0.01297754
1997/5/26,0.000091,-0.003468009
1997/5/27,0.000091,0.028426715
1997/5/28,0.000091,-0.009500976
1997/5/29,0.000091,-0.006794266
1997/5/30,0.000091,0.02118328
1997/6/2,0.000091,0.043051544
1997/6/3,0.000091,0.004318823
1997/6/4,0.000091,0.014842079
1997/6/5,0.000091,-0.000918494
1997/6/6,0.000091,-0.061740617
1997/6/9,0.000091,0.006582057
1997/6/10,0.000091,-0.033408592
1997/6/11,0.000091,-0.01859837
1997/6/12,0.000091,-0.007401168
1997/6/13,0.000091,0.030581739
1997/6/16,0.000091,0.017709295
1997/6/17,0.000091,-0.013274912
1997/6/18,0.000091,-0.009644176
1997/6/19,0.000091,-0.001871122
1997/6/20,0.000091,0.056427249
1997/6/23,0.000091,-0.00064836
1997/6/24,0.000091,0.02035435
1997/6/25,0.000091,-0.006487026
1997/6/26,0.000091,-0.008283273
1997/6/27,0.000091,-0.026183095
1997/7/2,0.000091,-0.043466668
1997/7/3,0.000091,-0.047604289
1997/7/4,0.000091,0.010805448
1997/7/7,0.000091,-0.064483241
1997/7/8,0.000091,0.013699991
1997/7/9,0.000091,0.009037055
1997/7/10,0.000091,-0.007680707
1997/7/11,0.000091,0.033697003
1997/7/14,0.000091,0.024682951
1997/7/15,0.000091,0.008754776
1997/7/16,0.000091,-0.007000366
1997/7/17,0.000091,0.009322315
1997/7/18,0.000091,0.008610864
1997/7/21,0.000091,-0.014519156
1997/7/22,0.000091,0.016007702
1997/7/23,0.000091,-0.006715233
1997/7/24,0.000091,-0.023318419
1997/7/25,0.000091,-0.002809699
1997/7/28,0.000091,-0.026763206
1997/7/29,0.000091,0.011013222
1997/7/30,0.000091,0.024179627
1997/7/31,0.000091,0.007082299
1997/8/1,0.000091,0.002038264
1997/8/4,0.000091,0.004018458
1997/8/5,0.000091,-0.003044761
1997/8/6,0.000091,-0.021711742
1997/8/7,0.000091,0.021357759
1997/8/8,0.000091,0.010411166
1997/8/11,0.000091,-0.01904817
1997/8/12,0.000091,-0.03818992
1997/8/13,0.000091,-0.025528635
1997/8/14,0.000091,0.037848619
1997/8/15,0.000091,-0.023835903
1997/8/18,0.000091,-0.01245125
1997/8/19,0.000091,0.00094078
1997/8/20,0.000091,0.008226936
1997/8/21,0.000091,0.017483014
1997/8/22,0.000091,0.008872111
1997/8/25,0.000091,0.011516763
1997/8/26,0.000091,0.009096324
1997/8/27,0.000091,0.005727488
1997/8/28,0.000091,0.016366689
1997/8/29,0.000091,0.002149588
1997/9/1,0.000091,0.005230635
1997/9/2,0.000091,-0.000223879
1997/9/3,0.000091,0.0120184
1997/9/4,0.000091,0.006121114
1997/9/5,0.000091,0.001348198
1997/9/8,0.000091,0.004708859
1997/9/9,0.000091,-0.020319427
1997/9/10,0.000091,0.023489561
1997/9/11,0.000091,-0.013173836
1997/9/12,0.000091,-0.027752
1997/9/15,0.000091,-0.025848088
1997/9/16,0.000091,0.007128348
1997/9/17,0.000091,-0.019770118
1997/9/18,0.000091,0.003396381
1997/9/19,0.000091,0.010646388
1997/9/22,0.000091,-0.073518892
1997/9/23,0.000091,-0.060592672
1997/9/24,0.000091,0.065500337
1997/9/25,0.000091,0.007841945
1997/9/26,0.000091,-0.00519948
1997/9/29,0.000091,-0.025366454
1997/9/30,0.000091,0.011989214
1997/10/6,0.000091,0.002876016
1997/10/7,0.000091,0.006367194
1997/10/8,0.000091,0.030530914
1997/10/9,0.000091,-0.006862508
1997/10/10,0.000091,0.00652528
1997/10/13,0.000091,-0.00939929
1997/10/14,0.000091,0.000239903
1997/10/15,0.000091,0.009745952
1997/10/16,0.000091,0.023264049
1997/10/17,0.000091,0.026155099
1997/10/20,0.000091,0.01629173
1997/10/21,0.000091,0.010902668
1997/10/22,0.000091,-0.01498872
1997/10/23,0.000079,0.00662888
1997/10/24,0.000079,0.009138445
1997/10/27,0.000079,0.033986573
1997/10/28,0.000079,-0.04243181
1997/10/29,0.000079,0.015920568
1997/10/30,0.000079,-0.013278871
1997/10/31,0.000079,0.005565176
1997/11/3,0.000079,-0.001447763
1997/11/4,0.000079,0.007037785
1997/11/5,0.000079,0.008288511
1997/11/6,0.000079,-0.01289724
1997/11/7,0.000079,0.012761888
1997/11/10,0.000079,-0.013110228
1997/11/11,0.000079,0.003653299
1997/11/12,0.000079,-0.01322296
1997/11/13,0.000079,0.013186303
1997/11/14,0.000079,0.006473568
1997/11/17,0.000079,-0.004624807
1997/11/18,0.000079,-0.008522044
1997/11/19,0.000079,-0.004878486
1997/11/20,0.000079,-0.009195294
1997/11/21,0.000079,-0.014809266
1997/11/24,0.000079,-0.028772652
