时间,收盘点位,市值(元),流通市值(元),股息率市值加权
2019/1/10,3524.87840 ,49607923722132.10000 ,36077670360347.00000 ,0.02320 
2019/1/9,3531.76900 ,49781947754846.40000 ,36183911043213.00000 ,0.02310 
2019/1/8,3508.52280 ,49447802929602.70000 ,35931332895481.00000 ,0.02330 
2019/1/7,3515.16860 ,49530319754576.30000 ,35999380919191.00000 ,0.02320 
2019/1/4,3470.28290 ,49050263409824.30000 ,35614484557250.00000 ,0.02350 
2019/1/3,3387.13270 ,47959796484192.80000 ,34830101035370.00000 ,0.02400 
2019/1/2,3399.40150 ,48063770722065.10000 ,34909918405474.00000 ,0.02390 
2018/12/28,3432.38470 ,47885454357503.70000 ,35143283672978.00000 ,0.02400 
2018/12/27,3418.06440 ,47679827437976.60000 ,34986004970772.00000 ,0.02410 
2018/12/26,3449.18480 ,48054863611725.20000 ,35245949927572.00000 ,0.02390 
2018/12/25,3462.99100 ,48191588463370.70000 ,35334237643236.00000 ,0.02390 
2018/12/24,3493.41510 ,48593405573322.50000 ,35641965328692.00000 ,0.02370 
2018/12/21,3472.68830 ,48337789116263.70000 ,35411480918799.00000 ,0.02380 
2018/12/20,3507.11020 ,48768089729569.50000 ,35738767931535.00000 ,0.02360 
2018/12/19,3513.79140 ,48944599028099.80000 ,35856490173421.00000 ,0.02350 
2018/12/18,3558.05450 ,49505628134845.30000 ,36263883568172.00000 ,0.02320 
2018/12/17,3587.44130 ,49905584597940.00000 ,36568793561725.00000 ,0.02310 
2018/12/14,3592.52400 ,49898011198797.70000 ,36539043530091.00000 ,0.02310 
2018/12/13,3667.96490 ,50825379533830.40000 ,37201952584093.00000 ,0.02260 
2018/12/12,3622.32330 ,50220996898168.00000 ,36752507991210.00000 ,0.02290 
2018/12/11,3615.97630 ,50074223728254.40000 ,36658534062820.00000 ,0.02300 
2018/12/10,3592.65930 ,49815534789075.90000 ,36469891070042.00000 ,0.02310 
2018/12/7,3634.56940 ,50318445811015.50000 ,36794592725796.00000 ,0.02290 
2018/12/6,3634.91380 ,50307279914239.20000 ,36787231257146.00000 ,0.02290 
2018/12/5,3709.25020 ,51254789656597.90000 ,37479603958091.00000 ,0.02240 
2018/12/4,3730.49080 ,51542141977571.50000 ,37642280580345.00000 ,0.02230 
2018/12/3,3713.23080 ,51329834262411.10000 ,37489418251153.00000 ,0.02240 
2018/11/30,3606.10170 ,49959565530127.30000 ,36468239180622.00000 ,0.02300 
2018/11/29,3574.19330 ,49540798759637.70000 ,36153400341572.00000 ,0.02330 
2018/11/28,3638.57360 ,50321902855427.30000 ,36705894981914.00000 ,0.02300 
2018/11/27,3593.59550 ,49756968437677.90000 ,36289537599056.00000 ,0.02320 
2018/11/26,3584.87530 ,49705491036825.10000 ,36258742998248.00000 ,0.02330 
2018/11/23,3589.67160 ,49782684137860.00000 ,36313804519992.00000 ,0.02320 
2018/11/22,3705.25980 ,51199539689863.20000 ,37342250701164.00000 ,0.02260 
2018/11/21,3712.11390 ,51291072527691.10000 ,37392633884469.00000 ,0.02260 
2018/11/20,3695.86620 ,51140090454155.60000 ,37271225294121.00000 ,0.02260 
2018/11/19,3790.91940 ,52326869417928.90000 ,38144152574689.00000 ,0.02210 
2018/11/16,3763.27140 ,51911674360810.60000 ,37799583270666.00000 ,0.02230 
2018/11/15,3737.16440 ,51599259230179.10000 ,37552849276308.00000 ,0.02240 
2018/11/14,3685.25570 ,50901428531417.30000 ,37081250231364.00000 ,0.02270 
2018/11/13,3706.81790 ,51284972599578.20000 ,37363830197029.00000 ,0.02260 
2018/11/12,3654.31740 ,50716663133819.30000 ,36920601195016.00000 ,0.02280 
2018/11/9,3584.88020 ,49918728035576.00000 ,36340313501475.00000 ,0.02320 
2018/11/8,3617.04460 ,50521360566015.00000 ,36753372701344.00000 ,0.02290 
2018/11/7,3629.48540 ,50656189786846.20000 ,36841254716863.00000 ,0.02290 
2018/11/6,3647.73030 ,50952889248371.40000 ,37042824484733.00000 ,0.02270 
2018/11/5,3659.79210 ,51101250917441.30000 ,37144710998955.00000 ,0.02270 
2018/11/2,3666.59030 ,51214452731426.90000 ,37198209624481.00000 ,0.02260 
2018/11/1,3550.30080 ,49776865135335.00000 ,36119946489744.00000 ,0.02320 
2018/10/31,3527.41700 ,49599499477934.90000 ,35978986938102.00000 ,0.02330 
2018/10/30,3476.45770 ,48974164133868.90000 ,35489303755986.00000 ,0.02360 
2018/10/29,3441.13180 ,48489322307775.60000 ,35152381910579.00000 ,0.02380 
2018/10/26,3523.35110 ,49561091213587.60000 ,35909947007953.00000 ,0.02330 
2018/10/25,3531.76790 ,49653061670763.00000 ,35963337162778.00000 ,0.02320 
2018/10/24,3536.82480 ,49660249460135.90000 ,35983537272312.00000 ,0.02320 
2018/10/23,3534.32520 ,49526221670162.40000 ,35916530318566.00000 ,0.02330 
2018/10/22,3612.09460 ,50640914653514.70000 ,36738157918669.00000 ,0.02280 
2018/10/19,3454.34310 ,48552258903822.80000 ,35229609451133.00000 ,0.02380 
2018/10/18,3365.19290 ,47293970100773.10000 ,34340636011041.00000 ,0.02440 
2018/10/17,3457.69970 ,48659408017381.30000 ,35347710916388.00000 ,0.02370 
2018/10/16,3434.87120 ,48350955306698.50000 ,35120648659777.00000 ,0.02390 
2018/10/15,3485.70930 ,48883271339205.40000 ,35511901908599.00000 ,0.02360 
2018/10/12,3536.76500 ,49573955161138.20000 ,36039857105005.00000 ,0.02330 
2018/10/11,3519.58310 ,49162244292432.70000 ,35762015354235.00000 ,0.02350 
2018/10/10,3739.29960 ,52031595454327.90000 ,37810630425230.00000 ,0.02220 
2018/10/9,3742.42980 ,51983596370998.40000 ,37796351890771.00000 ,0.02220 
2018/10/8,3743.29900 ,51955462922835.40000 ,37757566447008.00000 ,0.02220 
2018/9/28,3890.82880 ,54003063840776.20000 ,39227934048445.00000 ,0.02140 
2018/9/27,3854.20390 ,53453149289838.90000 ,38843767004585.00000 ,0.02160 
2018/9/26,3888.68620 ,53827503521151.30000 ,39093967623771.00000 ,0.02140 
2018/9/25,3858.00150 ,53365613844155.30000 ,38746503584979.00000 ,0.02160 
