时间,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),股息率市值加权
2014/2/21,2264.29,,16978179427889.80000 ,12484687738236.00000 ,0.03480 
2014/2/20,2287.44,,17180641074367.90000 ,12638642244017.00000 ,0.03440 
2014/2/19,2308.66,,17200398364238.40000 ,12642024994640.00000 ,0.03440 
2014/2/18,2282.44,,16956664280302.10000 ,12465912974113.00000 ,0.03490 
2014/2/17,2311.65,,17155646011230.00000 ,12585976874346.00000 ,0.03450 
2014/2/14,2295.57,,17037068014797.30000 ,12499340522590.00000 ,0.03470 
2014/2/13,2279.55,,16953946319330.90000 ,12429138006384.00000 ,0.03490 
2014/2/12,2291.25,,16993933717947.40000 ,12468976021214.00000 ,0.03480 
2014/2/11,2285.56,,16977351846894.70000 ,12451648052236.00000 ,0.03480 
2014/2/10,2267.53,,16822494305063.90000 ,12339794648530.00000 ,0.03520 
2014/2/7,2212.48,,16507820802023.70000 ,12108475160916.00000 ,0.03580 
2014/1/30,2202.45,,16476755644778.00000 ,12075236886178.00000 ,0.03590 
2014/1/29,2227.78,,16639846702208.40000 ,12190228274396.00000 ,0.03550 
2014/1/28,2219.85,,16573386899937.30000 ,12141922064276.00000 ,0.03570 
2014/1/27,2215.92,,16519096164543.40000 ,12111870925734.00000 ,0.03580 
2014/1/24,2245.68,,16725883713143.70000 ,12264178314594.00000 ,0.03540 
2014/1/23,2231.89,,16651539624358.90000 ,12203884497653.00000 ,0.03550 
2014/1/22,2243.8,,16755210319379.80000 ,12285768636158.00000 ,0.03530 
2014/1/21,2187.41,,16420433672123.60000 ,12031770470331.00000 ,0.03600 
2014/1/20,2165.99,,16303957015528.10000 ,11949491479198.00000 ,0.03630 
2014/1/17,2178.49,,16423105479845.60000 ,12028424213864.00000 ,0.03600 
2014/1/16,2211.84,,16565293119146.70000 ,12135897530734.00000 ,0.03570 
2014/1/15,2208.94,,16581762422647.20000 ,12144146816536.00000 ,0.03570 
2014/1/14,2212.85,,16627612514703.70000 ,12178497017713.00000 ,0.03560 
2014/1/13,2193.68,,16521098412602.50000 ,12094042336797.00000 ,0.03580 
2014/1/10,2204.85,,16527924139862.00000 ,12106315886088.00000 ,0.03580 
2014/1/9,2222.22,,16622093543658.00000 ,12164580643883.00000 ,0.03560 
2014/1/8,2241.91,,16739482867441.50000 ,12264200306966.00000 ,0.03530 
2014/1/7,2238,,16763824993139.40000 ,12285904690724.00000 ,0.03530 
2014/1/6,2238.64,,16796937235513.90000 ,12281174303034.00000 ,0.03520 
